"sbj_id","test_num","blok","typ","error","correct","age","rt","gain","peak_velocity"
"S4",1,4,"a",3,36,0,449.48717948718,0.914666666666667,258.769230769231
"S4",1,5,"p",2,58,0,390.333333333333,0.89855,288.266666666667
"S5",1,1,"p",0,60,0,327.15,0.79525,411.95
"S5",1,2,"a",2,38,0,308.275,0.740075,393.175
"S5",1,3,"a",2,38,0,307.05,0.800875,364.7
"S5",1,4,"a",2,38,0,331.675,0.888925,386.775
"S5",1,5,"p",2,58,0,288.516666666667,0.746233333333333,411.416666666667
"S6",1,1,"p",1,58,0,249.508474576271,0.778745762711864,312.050847457627
"S6",1,2,"a",1,39,0,272.475,0.666725,284.325
"S6",1,3,"a",2,38,0,259.7,0.73325,301.6
"S6",1,4,"a",7,33,0,247.6,0.705025,300.3
"S6",1,5,"p",2,58,0,207,0.706316666666667,338.266666666667
"S7",1,1,"p",1,59,0,314.95,0.6837,258.45
"S7",1,2,"a",5,35,0,341.575,0.69935,248.25
"S7",1,3,"a",4,36,0,343.25,0.7278,241.5
"S7",1,4,"a",4,34,0,357.5,0.703052631578947,284.394736842105
"S7",1,5,"p",4,56,0,282.533333333333,0.6801,279.85
"T0",1,1,"p",4,56,0,263.483333333333,0.917616666666667,357.516666666667
"T0",1,2,"a",4,36,0,308.875,1.0256,390.4
"T0",1,3,"a",2,38,0,283.875,1.0222,353.925
"T0",1,4,"a",6,34,0,312.575,0.87835,312
"T0",1,5,"p",4,56,0,271.166666666667,0.93835,354.966666666667
"T5",1,1,"p",0,60,0,309.75,0.7835,378.6
"T5",1,2,"a",8,31,0,486.564102564103,0.812589743589744,329.974358974359
"T5",1,3,"a",6,32,0,437.684210526316,0.803315789473684,329.973684210526
"T5",1,4,"a",9,30,0,378.641025641026,0.699384615384615,347.794871794872
"T5",1,5,"p",5,55,0,286.65,0.716966666666667,356.983333333333
"T8",1,1,"p",0,60,0,285.6,0.85625,402.55
"T8",1,2,"a",0,40,0,329.625,0.82075,409.625
"T8",1,3,"a",0,40,0,377.875,0.83855,421.325
"T8",1,4,"a",0,40,0,351.575,0.863625,404.025
"T8",1,5,"p",0,60,0,288.583333333333,0.84535,404.5
"U2",1,1,"p",0,60,0,262.583333333333,0.794766666666667,239.4
"U2",1,2,"a",1,39,0,275.65,0.735225,204.175
"U2",1,3,"a",2,38,0,296.225,0.755575,290.675
"U2",1,4,"a",3,37,0,286.375,0.749225,189.95
"U2",1,5,"p",2,58,0,231.683333333333,0.756816666666667,315.666666666667
"U3",1,1,"p",0,60,0,353.633333333333,0.870466666666667,270.133333333333
"U3",1,2,"a",0,40,0,391.9,0.81425,250.225
"U3",1,3,"a",1,39,0,392.475,0.795875,251.3
"U3",1,4,"a",2,37,0,416.769230769231,0.793333333333333,241.384615384615
"U3",1,5,"p",0,60,0,289.816666666667,0.808616666666667,300.15
"U8",1,1,"p",4,53,0,266.614035087719,0.843543859649123,327.368421052632
"U8",1,2,"a",6,31,0,392.351351351351,0.990432432432432,325.648648648649
"U8",1,3,"a",8,28,0,333.611111111111,1.06727777777778,289.111111111111
"U8",1,4,"a",7,25,0,330,0.72634375,269.34375
"U8",1,5,"p",4,50,0,270.944444444444,0.703018518518518,273.518518518519
"V0",1,1,"p",0,60,0,253.433333333333,0.929983333333333,320.95
"V0",1,2,"a",4,36,0,291.15,0.94575,294.125
"V0",1,3,"a",2,38,0,305.125,0.910625,306.625
"V0",1,4,"a",3,37,0,311.55,0.88065,275
"V0",1,5,"p",0,60,0,262.416666666667,0.924133333333333,308.95
"V2",1,1,"p",3,57,0,270.616666666667,0.83095,259.95
"V2",1,2,"a",20,20,0,369.15,0.737275,233.65
"V2",1,3,"a",7,33,0,376.3,0.770575,265.95
"V2",1,4,"a",1,38,0,384.076923076923,0.760153846153846,262.051282051282
"V2",1,5,"p",0,60,0,284.783333333333,0.82395,276.3
"V8",1,1,"p",0,59,0,232.186440677966,0.86564406779661,333.915254237288
"V8",1,2,"a",1,39,0,286.6,0.86905,320.875
"V8",1,3,"a",4,36,0,288.2,0.84705,330.875
"V8",1,4,"a",2,23,0,263.68,0.79964,298.28
"V8",1,5,"p",2,58,0,221.25,0.862733333333333,337.5
"W0",1,1,"p",12,46,0,211.913793103448,0.633637931034483,291.758620689655
"W0",1,2,"a",13,27,0,284.225,0.764775,237.975
"W0",1,3,"a",20,20,0,243.225,0.770225,277.675
"W0",1,4,"a",16,23,0,199.307692307692,0.813948717948718,206.076923076923
"W0",1,5,"p",9,48,0,198.105263157895,0.86259649122807,257.491228070175
"W3",1,1,"p",1,59,0,318.833333333333,0.840366666666667,264.166666666667
"W3",1,2,"a",2,38,0,316.825,0.6894,265
"W3",1,3,"a",1,39,0,334.625,0.6482,247.425
"W3",1,4,"a",1,39,0,299.275,0.693725,254.95
"W3",1,5,"p",1,58,0,272.305084745763,0.741033898305085,273.135593220339
"W7",1,1,"p",0,60,0,255.083333333333,0.821233333333333,301.283333333333
"W7",1,2,"a",4,36,0,250.55,0.80985,264.3
"W7",1,3,"a",3,37,0,270.1,0.848575,260.775
"W7",1,4,"a",2,38,0,280.175,0.77705,255
"W7",1,5,"p",0,60,0,269.5,0.802266666666667,288.9
"W8",1,1,"p",1,56,0,273.19298245614,0.677701754385965,303.385964912281
"W8",1,2,"a",3,37,0,325.5,0.7791,292.05
"W8",1,3,"a",2,37,0,312.051282051282,0.773794871794872,238.846153846154
"W8",1,4,"a",4,36,0,324.875,0.71995,377.6
"W8",1,5,"p",4,55,0,303.728813559322,0.73806779661017,310.220338983051
"W9",1,1,"p",2,58,0,219.7,0.871416666666667,219.333333333333
"W9",1,2,"a",2,38,0,264.65,0.812,198.375
"W9",1,3,"a",2,38,0,269.125,0.73265,191.7
"W9",1,4,"a",1,39,0,277.375,0.794075,209.675
"W9",1,5,"p",1,59,0,235.4,0.87915,237.433333333333
"X0",1,1,"p",2,58,0,203.466666666667,0.90685,366.7
"X0",1,2,"a",7,33,0,270.475,0.851925,266.2
"X0",1,3,"a",12,28,0,246.25,0.85355,295.275
"X0",1,4,"a",8,32,0,229.825,0.832375,290.225
"X0",1,5,"p",3,57,0,185.8,0.881616666666667,332.866666666667
"X5",1,1,"p",2,58,0,276.35,0.929233333333333,390.433333333333
"X5",1,2,"a",4,36,0,264.9,0.9804,345.275
"X5",1,3,"a",1,39,0,300.975,0.966475,344.175
"X5",1,4,"a",5,35,0,305.6,0.841125,317.375
"X5",1,5,"p",5,54,0,234.101694915254,0.766372881355932,390.830508474576
"X7",1,1,"p",1,59,0,339.483333333333,0.83525,338.55
"X7",1,2,"a",2,38,0,390.7,0.800975,274.55
"X7",1,3,"a",0,40,0,366.725,0.82275,300.9
"X7",1,4,"a",0,39,0,362.589743589744,0.800666666666667,272.74358974359
"X7",1,5,"p",1,59,0,317.966666666667,0.8345,295.166666666667
"X8",1,1,"p",0,60,0,247.866666666667,0.990866666666667,347.783333333333
"X8",1,2,"a",1,39,0,263.925,1.021225,328.325
"X8",1,3,"a",3,37,0,274.225,0.9735,315.725
"X8",1,4,"a",1,39,0,272.325,0.991325,317.125
"X8",1,5,"p",1,59,0,247.216666666667,1.02078333333333,355.9
"Y5",1,1,"p",3,57,0,258.766666666667,0.724416666666667,258.016666666667
"Y5",1,2,"a",4,36,0,332.875,0.88995,286.4
"Y5",1,3,"a",5,35,0,341.7,0.790825,242.425
"Y5",1,4,"a",4,36,0,323.7,0.74055,240.7
"Y5",1,5,"p",0,60,0,279,0.848983333333333,277
"Y9",1,1,"p",0,60,0,277.783333333333,0.949783333333333,299.75
"Y9",1,2,"a",0,40,0,348.75,0.9009,289.075
"Y9",1,3,"a",0,40,0,341.825,0.865475,279.45
"Y9",1,4,"a",1,39,0,372.275,0.86435,278.975
"Y9",1,5,"p",0,60,0,257.616666666667,0.930333333333333,302.6
"Z1",1,1,"p",1,59,0,324.166666666667,0.9471,293.633333333333
"Z1",1,2,"a",3,37,0,302.575,0.857875,228.375
"Z1",1,3,"a",2,38,0,323.325,0.754575,214.2
"Z1",1,4,"a",2,38,0,320.3,0.808275,245.875
"Z1",1,5,"p",0,59,0,318.830508474576,0.897491525423729,325.220338983051
"Z4",1,1,"p",0,60,0,278.75,0.777283333333333,298.9
"Z4",1,2,"a",0,40,0,321.75,0.715575,286.55
"Z4",1,3,"a",2,38,0,306,0.7374,290.725
"Z4",1,4,"a",4,36,0,324.075,0.741975,323.225
"Z4",1,5,"p",1,58,0,247.271186440678,0.787813559322034,335.508474576271
"Z8",1,1,"p",2,57,0,240.118644067797,0.785423728813559,357.694915254237
"Z8",1,2,"a",3,37,0,323.4,0.8129,332.825
"Z8",1,3,"a",8,32,0,305.875,0.819775,356.05
"Z8",1,4,"a",6,34,0,292.725,0.646025,320.325
"Z8",1,5,"p",56,4,0,327.783333333333,0.751066666666667,328.716666666667
"A7",2,1,"p",3,57,0,238.55,0.8607,351.516666666667
"A7",2,2,"a",3,37,0,301.225,0.834475,341.475
"A7",2,3,"a",5,35,0,276.1,0.7649,321.2
"A7",2,4,"a",6,34,0,283.275,0.783125,302.5
"A7",2,5,"p",5,55,0,239.816666666667,0.791433333333333,348.016666666667
"B7",2,1,"p",0,60,0,249.183333333333,0.911383333333333,316.033333333333
"B7",2,2,"a",3,37,0,285.375,0.847275,314.775
"B7",2,3,"a",5,35,0,315.6,0.905125,351.6
"B7",2,4,"a",3,37,0,300.775,0.9491,335.025
"B7",2,5,"p",0,60,0,235.166666666667,0.839316666666667,338.566666666667
"B9",2,1,"p",1,59,0,280.733333333333,0.8423,240.933333333333
"B9",2,2,"a",5,35,0,391.85,0.772925,208.45
"B9",2,3,"a",1,39,0,362.175,0.762875,218.575
"B9",2,4,"a",2,38,0,381.5,0.691825,203.275
"B9",2,5,"p",1,59,0,263.416666666667,0.818783333333333,269.883333333333
"C0",2,1,"p",0,60,0,281.85,0.804566666666667,293.466666666667
"C0",2,2,"a",0,40,0,316.225,0.731425,294.725
"C0",2,3,"a",2,38,0,296.875,0.726575,257.425
"C0",2,4,"a",2,38,0,320.325,0.711175,291.275
"C0",2,5,"p",0,59,0,252.864406779661,0.784389830508475,277.203389830508
"C1",2,1,"p",0,60,0,251.883333333333,0.875933333333333,283.116666666667
"C1",2,2,"a",7,33,0,288.3,0.7899,253.7
"C1",2,3,"a",6,34,0,308.5,0.77075,283.625
"C1",2,4,"a",6,34,0,313.5,0.86985,279.25
"C1",2,5,"p",1,57,0,257.724137931034,0.889913793103448,292.224137931034
"C7",2,1,"p",1,59,0,278.116666666667,0.81075,269.416666666667
"C7",2,2,"a",1,39,0,293.35,0.767125,266
"C7",2,3,"a",1,38,0,298.230769230769,0.768564102564103,235.512820512821
"C7",2,4,"a",2,38,0,311.35,0.711675,248.975
"C7",2,5,"p",1,58,0,268.745762711864,0.794440677966102,251.135593220339
"C8",2,1,"p",5,55,0,234.533333333333,0.76395,245.583333333333
"C8",2,2,"a",4,36,0,273.925,0.90925,256.45
"C8",2,3,"a",7,33,0,239.175,0.798175,227.45
"C8",2,4,"a",7,33,0,237.9,0.789775,212.325
"C8",2,5,"p",6,54,0,226.683333333333,0.799033333333333,274.6
"D0",2,1,"p",1,58,0,281.932203389831,0.79671186440678,320.542372881356
"D0",2,2,"a",2,37,0,326.692307692308,0.879948717948718,292.615384615385
