subject,conditions,late_pro_prob,inhib_fail_prob,late_pro_rt,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age
7,2,0.994301689613722,0.132599099197816,2.60028602122546,2.48360021583396,1.67023968238299,2.46160165064059,0.994861014264688,2.42819009247507,0.00513898573531249,0
8,1,0.0584288887391868,0.0519773490866964,2.96298415037566,3.53784675311076,1.37871987488433,2.24799902736142,0.108684614427331,3.5333451267883,0.891315385572668,0
8,2,0.941102830685969,0.602526938301799,3.59294467386124,3.21771017919038,2.40397282581397,2.59521518903262,0.971444973894247,2.43594985327059,0.0285550261057535,0
9,1,0.0408193461417264,0.102019630679605,2.363787066431,2.97378172272194,1.20912577172229,1.51964666214646,0.140249386912197,2.97083355624703,0.859750613087803,0
9,2,0.963511482492672,0.176067163193745,2.7799432543091,2.36525582356261,1.5120046319165,2.52661244855572,0.968950486159301,2.30802743913767,0.0310495138406992,0
10,1,0.0179888111513637,0.0086963838711774,2.92630771533634,3.37981723314978,0.860546676978191,2.15286949127757,0.0280318714693619,3.37963031166207,0.971968128530638,0
10,2,0.991887977912893,0.0648647909208152,3.08201860641424,2.74612225312674,1.71758813841351,2.98623639533957,0.992295289687439,2.71365012324698,0.00770471031256095,0
11,1,0.0148521436470146,0.026972334303456,2.81828016064121,3.06956318661178,1.1786479380101,1.74593355915175,0.0430723577050573,3.06854251978271,0.956927642294943,0
11,2,0.995041571987735,0.0758985471381787,2.74415980364295,2.48349459426704,1.43043091674128,2.6351992903897,0.995294577009197,2.43323728723536,0.0047054229908028,0
12,1,0.0148295648677543,0.0312318120767593,3.59160507057886,3.61402843709564,0.971082788393312,1.77911640105503,0.0468447134280601,3.61380011397921,0.95315528657194,0
12,2,0.983833767879651,0.0395879482342873,3.77698958535513,3.73209122604981,1.4425535500116,3.67824955156378,0.984419054084699,3.71630478972323,0.0155809459153008,0
13,1,0.0609490802813953,0.0548597187819367,3.38014912855214,3.78593162432899,1.31986992871707,2.41364108670572,0.113971243291668,3.78272046956211,0.886028756708332,1
13,2,0.985999299626514,0.0531479325350521,3.30177002192237,2.93722870185791,1.61733507104433,3.20734799866083,0.986633485343292,2.91928491049079,0.0133665146567088,1
14,1,0.0199965773864044,0.0506685331961978,2.89474225977568,3.20138028798574,1.21082520359665,1.66953618701864,0.0709307255788697,3.20044179578772,0.929069274421131,0
14,2,0.994951008584775,0.145537686434794,2.95003550081724,2.75486987827378,1.61924652757808,2.74426233751438,0.995489111373965,2.68346442152429,0.00451088862603512,0
15,1,0.0788237441701078,0.0185750896900567,2.97095991914669,3.25382244509753,0.932475376420972,2.57199523551269,0.0969204715175793,3.25329288874362,0.903079528482421,0
15,2,0.97210679292362,0.0201641989191572,2.80058481054935,2.32832591560677,0.96718910213312,2.76061527906364,0.972667941319034,2.32453411510886,0.0273320586809657,0
16,1,0.0218176407633546,0.0332413439428728,2.45758484261606,2.75572745236288,1.25075954900958,1.68588208454592,0.0555799090401753,2.75408830905775,0.944420090959825,0
16,2,0.992386862373146,0.0862134441497962,2.56580645378353,2.33973313620318,1.50654762866429,2.46633600698461,0.992888260930259,2.30800565887536,0.00711173906974102,0
17,1,0.064314913777127,0.0644224349160335,3.6479860891341,4.1960715043737,1.59692526400319,2.60517618340188,0.125581350402453,4.19214848743829,0.874418649597547,1
17,2,0.965337702799398,0.066548801080439,3.29655806886564,3.07260322499633,1.47879403853288,3.16637082787493,0.967588990869627,3.05956444518215,0.0324110091303728,1
18,1,0.0942438786496172,0.10422667437908,2.27325522846331,2.96820547606602,1.71709225065888,2.0169186514092,0.193778567075941,2.95655395437399,0.806221432924059,1
18,2,0.973484112599219,0.0387499511284705,2.38486449280308,1.87777119786775,1.29274865895876,2.33551751980647,0.974237479492004,1.86672182515157,0.0257625205079959,1
19,1,0.017062256813558,0.108631798969383,2.99242201892559,3.17601617389571,1.26556087698086,1.46555649722724,0.124732744554309,3.17542670496314,0.87526725544569,0
19,2,0.971734663427771,0.471258768739566,3.30485059453956,2.86723867588135,1.61990255267354,2.4852480271655,0.983719166593417,2.75918469369677,0.0162808334065829,0
20,1,0.102073287044557,0.0247966295466067,3.54044277291826,3.92239741342454,1.87374062246827,3.16711259498427,0.12600374181763,3.92057955075709,0.87399625818237,1
20,2,0.973321055094698,0.0419409509019709,3.08400505425507,2.89620541056548,2.23938324435419,3.03474470822985,0.974288053061898,2.88050100096432,0.0257119469381021,1
21,1,0.146992201042503,0.0461435441625182,3.26382903861881,4.12626754220828,1.63392317438655,2.85283200728439,0.188360165556538,4.12194622203835,0.811639834443462,1
21,2,0.949394259532824,0.0472958960357695,3.75693544807752,2.8308793132708,1.3292965527482,3.62929623218114,0.951358067921712,2.82080714288873,0.0486419320782875,1
22,1,0.239264777683797,0.0647899595841395,3.38686059242551,3.9379909361172,1.31357791245222,2.94812957221571,0.292134782843758,3.92263622695375,0.707865217156242,1
22,2,0.93907205738364,0.110377899928661,3.3616204012577,2.48688431359798,1.58479880578149,3.14283369150006,0.944397780623581,2.45243733593696,0.0556022193764193,1
23,1,0.181839567760923,0.194904980404611,3.98683400943204,4.37863486002439,1.83581168458144,2.76079177044872,0.347002384424348,4.28754978279158,0.652997615575652,1
23,2,0.887543392302064,0.0743054011894114,3.87977340550629,3.28519163596652,1.58715241605493,3.67177906537975,0.895176730101936,3.24836691624182,0.104823269898064,1
24,1,0.0213637302309718,0.037316078151536,3.01835866473183,3.23354381295613,1.25483517207822,1.81459730307072,0.0598592405449043,3.23233985813912,0.940140759455096,0
24,2,0.998300450010406,0.112590918600069,2.81724291615617,2.60345829596991,1.63209818243576,2.67403619582897,0.998318289373864,2.4199830820442,0.00168171062613623,0
25,1,0.0261962527808749,0.0202562934550813,3.63488856346974,4.34271534052867,1.10541527812622,2.42808290881504,0.0474055327782175,4.34200589855939,0.952594467221782,0
25,2,0.987962142189042,0.077871919108726,3.41782707892221,3.25779759411417,1.60239284235167,3.26012878582459,0.98883477631808,3.21653479265986,0.0111652236819202,0
26,1,0.0296798299980974,0.196353809971698,2.66184287252884,3.10160406813068,1.4975313517975,1.6250473122147,0.22173797460693,3.09061077372873,0.77826202539307,1
26,2,0.964882929490033,0.222261970556498,2.96793752850493,2.70219451875962,1.64364418499566,2.63631307438137,0.972190413714603,2.64156326903975,0.0278095862853968,1
27,1,0.0269750892451668,0.0223694159067666,2.78004547867473,3.26415318863418,1.1607498368154,2.04933942391493,0.0499195302212878,3.2632169142922,0.950080469778712,0
27,2,0.987648338383391,0.0581494374521746,2.77808095797315,2.54818897986106,1.72206235240932,2.70233094301988,0.988199823968516,2.52370215053277,0.0118001760314844,0
28,1,0.0558533083116505,0.197160067043132,2.81607600897386,3.65607332751617,1.8803414239253,2.05102115939076,0.245981684590139,3.62542824662037,0.754018315409861,1
28,2,0.592945088571229,0.0784102740855864,3.05817388999824,2.96504331312702,1.79132711094313,2.87742895097285,0.626016706197376,2.93075732066828,0.373983293802623,1
29,1,0.0340535135624746,0.0772346564278321,2.45612834419525,3.1950681749741,1.43957244799944,1.73603262478501,0.110391656938909,3.19219671285374,0.889608343061091,0
29,2,0.979210555032184,0.168553087298814,3.07732750253818,2.484987002437,1.89933718998736,2.84101648482543,0.982036833510507,2.40286229357026,0.0179631664894927,0
30,1,0.0409443042804787,0.0226216231817338,3.46290656249172,3.90017358671272,1.13207591117892,2.58589412141991,0.0639385430998016,3.89966885386441,0.936061456900198,1
